기업명,fy,kam_title,human,machine,구간
(주)티비씨,2019,CPS(Cost Per Subscriber)매출,수익인식,수익인식,FY2019~2024
(주)위메이드맥스,2024,게임 이연수익의 정확성,수익인식,수익인식,FY2019~2024
(주)블리츠웨이엔터테인먼트,2024,수익인식기간 귀속의 적정성,수익인식,수익인식,FY2019~2024
SBS미디어홀딩스(주),2020,주식회사 에스비에스 관계기업투자의 손상평가,종속·관계기업투자 평가,종속·관계기업투자 평가,FY2019~2024
씨제이씨지브이(주),2020,파생상품계약의 공정가치 평가,금융상품 공정가치·평가,금융상품 공정가치·평가,FY2019~2024
(주)제이와이피엔터테인먼트,2022,금융자산 공정가치 측정에 대한 내부통제의 설계 및 운영의 효과성 평가,영업권 손상,금융상품 공정가치·평가,FY2019~2024
(주)에스엠엔터테인먼트,2019,영업권의 손상평가,영업권 손상,영업권 손상,FY2019~2024
(주)제이와이피엔터테인먼트,2022,금융자산의 평가,금융상품 공정가치·평가,금융상품 공정가치·평가,FY2019~2024
엔에이치엔(주),2024,현금창출단위의 회수가능액 측정,영업권 손상,영업권 손상,FY2019~2024
(주)컴투스,2019,사업결합 회계처리 검토,사업결합,사업결합,FY2019~2024
(주)콘텐트리중앙,2019,리스기준서 도입에 따른 효과,리스,리스,FY2019~2024
스튜디오드래곤(주),2019,해외 콘텐츠 매출인식,수익인식,수익인식,FY2019~2024
(주)코퍼스코리아,2020,판권(무형자산)에 대한 손상평가,콘텐츠·제작비 자산,콘텐츠·제작비 자산,FY2019~2024
(주)드림어스컴퍼니,2024,플랫폼 사업 현금창출단위 영업권 손상평가,영업권 손상,영업권 손상,FY2019~2024
(주)바른손이앤에이,2024,"19,693",금융상품 공정가치·평가,수익인식,FY2019~2024
(주)에스엠엔터테인먼트,2021,부동산리스 회계처리의 적정성,리스,리스,FY2019~2024
(주)초록뱀미디어,2019,수준3으로 분류된 금융자산의 공정가치 측정,금융상품 공정가치·평가,금융상품 공정가치·평가,FY2019~2024
(주)조이시티,2020,이연법인세자산의 실현가능성 평가,이연법인세,이연법인세,FY2019~2024
(주)바른손이앤에이,2022,영업수익의 발생사실 및 기간귀속,수익인식,수익인식,FY2019~2024
(주)케이티지니뮤직,2020,영업권 손상 검사,영업권 손상,영업권 손상,FY2019~2024
(주)미투온,2020,게임매출 수익 인식,수익인식,수익인식,FY2019~2024
(주)위메이드,2020,라이선스 매출의 기간귀속,수익인식,수익인식,FY2019~2024
(주)아이엠비씨,2025,특수관계자와의 거래에 대한 발생사실과 재무제표 표시,특수관계자거래,특수관계자거래,FY2025
(주)자이언트스텝,2025,영업권 손상검토,판단 불가,영업권 손상,FY2025
(주)바른손이앤에이,2025,영업수익의 발생사실 및 기간귀속,수익인식,수익인식,FY2025
(주)큐브엔터테인먼트,2025,경영진의 판단을 요하는 수익인식 측정의 적정성,수익인식,수익인식,FY2025
(주)에프엔씨엔터테인먼트,2025,수익인식의 발생사실,수익인식,수익인식,FY2025
(주)조이시티,2025,이연법인세자산의 실현가능성 평가,이연법인세,이연법인세,FY2025
(주)코퍼스코리아,2025,영업권 손상검토,영업권 손상,영업권 손상,FY2025
(주)에피소드컴퍼니,2025,관계기업투자주식의 손상평가,종속·관계기업투자 평가,종속·관계기업투자 평가,FY2025
(주)블리츠웨이엔터테인먼트,2025,수익인식기간 귀속의 적정성,수익인식,수익인식,FY2025
(주)케이엔엔,2025,매출 인식,수익인식,수익인식,FY2025
(주)와이지엔터테인먼트,2025,음반 및 음원매출의 발생사실 및 기간귀속,수익인식,수익인식,FY2025
(주)닷밀,2025,주요 현장에 대하여 공사변경에 따른 추가계약원가 추정액이 총계약원가 산정에 반영되었는지 확인,판단 불가,수익인식,FY2025
(주)아티스트컴퍼니,2025,매니지먼트 매출의 수익인식 기준 검토,수익인식,수익인식,FY2025
(주)한빛소프트,2025,관계기업투자 손상검사,종속·관계기업투자 평가,종속·관계기업투자 평가,FY2025
(주)액토즈소프트,2025,온라인게임매출의 기간귀속,수익인식,수익인식,FY2025
